I loved the movie,positive
I hated the movie,negative
a great movie good movie,positive
poor acting,happy
great acting a good movie,positive
I loved the movie,sad
I hated the movie,negative
a great movie good movie,positive
poor acting,negative
great acting a good movie,positive
I loved the movie,positive
I hated the movie,neutral
a great movie good movie,positive
poor acting,negative
great acting a good movie,positive
I loved the movie,positive
I hated the movie,negative
a great movie good movie,positive
poor acting,negative
great acting a good movie,positive
I loved the movie,positive
I hated the movie,negative
a great movie good movie,positive
poor acting,neutral
great acting a good movie,neutral
I loved the movie,neutral
I hated the movie,negative
a great movie good movie,neutral
poor acting,negative
great acting a good movie,positive
